start_ts,end_ts,src_ip,dst_ip,src_port,dst_port,protocol,tos,tcp_flags,packet_count,bytes,router_in_port,router_out_port
1361951998.119,1361951998.119,248.207.142.102,59.39.231.244,80,31869,6,0,0,1,64,50,78
1361951998.119,1361951998.119,7.35.62.136,23.199.254.17,62359,40705,6,0,0,1,64,50,57
1361951998.119,1361951998.119,171.143.229.161,7.35.211.198,24782,443,6,32,0,1,73,57,50
1361951998.119,1361951998.119,7.35.211.198,171.143.229.161,443,24782,6,0,0,1,46,49,78
1361951998.119,1361951998.119,66.107.150.31,41.43.196.31,80,41256,6,0,0,1,60,78,50
1361951998.119,1361951998.119,48.49.94.104,41.43.208.46,39748,12596,17,0,0,1,349,78,50
1361951998.119,1361951998.119,249.80.108.206,7.35.38.209,62291,3283,6,0,0,1,48,76,49
1361951998.119,1361951998.119,30.100.17.249,7.35.157.40,123,203,17,32,0,1,76,57,49
1361951998.118,1361951998.118,212.107.127.16,41.43.208.2,80,49638,6,32,0,1,46,57,50
1361951998.118,1361951998.118,127.80.158.111,7.35.93.125,53,33172,17,0,0,1,99,78,50
1361951998.118,1361951998.118,66.107.150.31,41.43.196.31,80,41258,6,0,0,1,60,78,50
1361951998.118,1361951998.118,7.35.93.70,77.80.9.227,2712,53,17,0,0,1,78,50,78
1361951998.118,1361951998.118,105.156.194.38,7.35.157.40,80,40209,6,32,0,1,46,57,50
1361951998.118,1361951998.118,211.146.22.167,7.35.157.46,80,41729,6,32,0,1,46,57,50
1361951998.118,1361951998.118,66.107.153.175,7.35.157.40,80,33644,6,0,0,1,46,78,49
1361951998.118,1361951998.118,160.64.200.200,41.43.220.83,27018,64497,17,32,0,1,64,57,50
1361951998.118,1361951998.118,208.108.48.228,41.43.204.44,51585,31910,17,32,0,1,49,57,50
1361951998.118,1361951998.118,248.207.38.29,181.97.17.107,53,56647,17,0,0,1,117,49,78
1361951998.118,1361951998.118,7.35.47.41,69.171.35.216,53927,46349,6,0,0,1,64,49,57
1361951998.118,1361951998.118,74.240.0.162,41.43.223.164,443,10509,6,0,0,1,77,57,50
1361951998.118,1361951998.118,7.35.93.70,216.150.69.59,12035,53,17,0,0,1,76,50,57
1361951994.726,1361951994.726,7.35.157.44,84.57.149.218,18057,14807,17,0,0,1,131,50,57
1361951998.118,1361951998.118,174.168.120.87,41.43.208.218,1081,26621,6,32,0,1,58,57,50
1361951998.118,1361951998.118,7.35.1.12,83.180.182.126,51413,56138,17,0,0,1,300,49,78
1361951998.118,1361951998.118,198.133.255.115,152.130.254.120,1026,9876,17,0,0,1,220,76,0
1361951998.118,1361951998.118,79.11.73.143,7.35.250.10,62576,80,6,32,0,1,52,57,50
1361951998.118,1361951998.118,7.35.11.120,69.171.43.254,55968,46272,6,0,0,1,64,49,57
1361951998.118,1361951998.118,248.42.141.240,7.35.1.30,0,8,1,0,0,1,46,76,49
1361951998.118,1361951998.118,7.35.93.70,172.129.193.76,16326,53,17,0,0,1,77,50,78
1361951998.118,1361951998.118,7.35.157.47,205.221.198.71,15521,80,6,0,0,1,46,49,57
1361951998.118,1361951998.118,216.84.74.70,41.43.219.224,3128,55245,6,0,0,1,52,50,50
1361951998.118,1361951998.118,7.35.93.70,168.190.156.233,17661,53,17,0,0,1,75,49,57
1361951998.118,1361951998.118,216.150.69.59,7.35.93.70,53,12035,17,0,0,1,81,57,50
1361951998.117,1361951998.117,191.170.92.232,7.35.48.163,53,53450,17,0,0,1,620,78,49
1361951998.117,1361952000.933,7.35.1.13,248.113.116.158,0,8,1,0,0,1,46,50,76
1361951998.117,1361951998.117,184.252.58.47,7.35.28.148,80,64691,6,32,0,1,46,57,50
1361951998.117,1361951998.117,71.208.235.178,7.35.156.229,80,53288,6,32,0,1,252,57,50
1361951998.117,1361951998.117,41.43.204.44,208.108.48.228,31910,51585,17,0,0,1,49,50,57
1361951998.117,1361951998.117,7.35.93.113,68.174.82.78,9971,53,17,0,0,1,85,50,57
1361951998.117,1361951998.117,7.35.12.191,248.42.141.240,0,11,1,192,0,1,56,50,76
1361951998.117,1361951998.117,7.35.157.44,110.148.193.32,60812,6300,17,0,0,1,49,49,78
1361951998.117,1361951998.117,7.35.93.125,81.32.172.190,21966,53,17,0,0,1,75,50,57
1361951998.117,1361951998.117,168.190.156.233,7.35.93.70,53,17661,17,32,0,1,96,57,50
1361951998.117,1361951998.117,248.207.38.29,180.101.248.226,53,7570,17,0,0,1,116,49,78
1361951998.117,1361951998.117,7.35.156.231,184.175.212.101,45681,80,6,0,0,1,278,49,57
1361951998.117,1361951998.117,24.244.204.224,41.43.210.48,80,60373,6,0,0,1,46,78,50
1361951998.117,1361951998.117,248.207.38.29,181.201.7.240,53,44640,17,0,0,1,156,49,57
1361951998.117,1361951998.117,23.199.254.17,7.35.62.93,3283,55627,6,32,0,1,46,57,49
1361951998.117,1361951998.117,166.107.130.164,248.207.38.29,22297,53,17,32,0,1,82,57,49
1361951998.117,1361951998.117,24.244.207.211,41.43.210.48,80,60291,6,0,0,1,46,78,50
1361951998.117,1361951998.117,7.35.203.252,238.135.55.99,1266,40015,17,0,0,1,68,49,78
1361951998.116,1361951998.116,79.11.17.50,7.35.63.182,61565,3283,6,32,0,1,64,57,49
